CaseLocation,Expenses,LengthAbandoned
11805 STANDIFORD PLAZA DR,0,1095
11806 GARDEN GROVE WAY,0,1559
11808 MONDAMON DR,155.69,1529
11809 MAHOGANY DR,328.75,1363
11813 LEEMONT DR,5760.25,1551
11815 LEEMONT DR,412,1466
11822 LOWER RIVER RD,1221.5,1453
11835 OLDE SPRING RD,642,1473
119 N 18TH ST,0,506
119 N 25TH ST,1394.19,1465
119 N 41ST ST,0,1234
119 S 23RD ST,0,484
119 S 46TH ST,1773,1557
119 S SPRING ST,435,507
11901 DIXIE HWY 100,0,184
11901 DIXIE HWY 112,93.75,324
11902 QUEEN ANNES CT,1459.68,242
11903 E ORELL RD,0,85
1196 BICKNELL AVE,1471.22,1487
1196 INNIS CT 3,0,-Inf
120 CREWS DR,302,1152
120 DR W J HODGE ST,94.25,219
120 N 26TH ST,0,794
120 N 40TH ST,2734.61,543
120 N SHAWNEE TER,0,871
120 S 22ND ST,171.4,535
120 S LONGWORTH AVE,0,684
1200 BICKNELL AVE,0,1193
1200 FAIRDALE RD,4681.91,1221
1200 TENNESSEE AVE,5372.55,1557
12000 ALMA LYNN DR,0,1466
12002 ROCK SPRING DR,0,823
12007 VALLEYMEADOW WAY,330.75,1363
1201 DIXIE HWY,0,1538
1201 DURRETT LN,433,453
1201 EUCLID AVE,1312.26,1551
1201 GOSS AVE,0,-Inf
1201 S 43RD ST,469,1391
12010 MEADOW LN,0,1152
1202 BOURBON AVE,0,110
1202 LILLIAN AVE,3327.54,1403
1202 S 3RD ST,453,1153
12020 ANCIENT SPRING DR,406,1202
1203 LILLIAN AVE,1503.5,1486
1203 LONGFIELD AVE,640,1563
1203 LYNN MYRA CT,681,1440
1203 SALE AVE,0,1074
1204 BRIDGET DR,1251.75,421
1204 CECIL AVE,0,1472
1204 SOUTH PARK RD,511.5,1531
1204 WALTER AVE,282.79,348
1206 BRIDGET DR,0,1418
1206 DRESDEN AVE,1219.4,746
1206 GILMORE LN,1535.47,1027
1206 OLEANDA AVE,1026.4,1433
