CaseLocation,DateAbandoned,Expenses,PARCELID,ZIP
2322 BOLLING AVE,2016-07-08,0,NA,NA
2324 ST LOUIS AVE,2014-10-14,889.52,NA,NA
2328 ST LOUIS AVE,2017-05-02,309,NA,NA
233 N 26TH ST 101,2015-02-26,1676.45,NA,NA
233 N 26TH ST 201,2015-02-26,876.84,NA,NA
2330 ST LOUIS AVE,2015-06-15,301.5,NA,NA
2336 ST LOUIS AVE,2016-08-31,354.75,NA,NA
2337 W MARKET ST,2013-10-30,1747.33,NA,NA
2343 W MUHAMMAD ALI BLVD 1,2013-08-07,3388.86,NA,NA
2403 W MARKET ST,2014-12-08,108.25,NA,NA
2406 ST XAVIER ST,2013-11-05,537.75,NA,NA
2409 ST XAVIER ST,2013-11-20,907.36,NA,NA
2410 AVALON ST,2013-07-25,78.5,NA,NA
2410 ST XAVIER ST,2014-05-21,1171.25,NA,NA
2412 ST XAVIER ST,2014-04-28,6266.34,NA,NA
2413 W MUHAMMAD ALI BLVD 1,2015-04-22,62.5,NA,NA
2420 ST XAVIER ST,2013-09-12,4778.89,NA,NA
2421 ST XAVIER ST,2013-11-20,3033.22,NA,NA
2423 ELLIOTT AVE,2013-09-11,1594.08,NA,NA
2423 ST XAVIER ST,2013-09-12,2838.97,NA,NA
2427 ST XAVIER ST,2013-09-12,5060.22,NA,NA
2500 ST CECILIA ST,2017-05-26,506.86,NA,NA
2502 ST CECILIA ST,2013-09-12,4619,NA,NA
2511 CROP ST,2016-12-07,107.9,NA,NA
2511 ST XAVIER ST,2016-06-01,0,NA,NA
2511 WOODLAND AVE,2016-10-31,194,NA,NA
2512 S 4TH ST 1,2014-03-11,1065.29,NA,NA
2512 ST XAVIER ST,2017-06-14,62.5,NA,NA
2512 W JEFFERSON ST,2013-10-07,6180.92,NA,NA
2514 S 4TH ST 1,2014-03-24,2704.49,NA,NA
2515 ROWAN ST,2013-11-11,640.5,NA,NA
2515 ST XAVIER ST,2015-12-08,216.5,NA,NA
2519 ST XAVIER ST,2015-03-02,2775.06,NA,NA
2520 W MUHAMMAD ALI BLVD,2013-11-07,819.4,NA,NA
2522 GILLIGAN ST,2014-02-20,2346.42,NA,NA
2522 ST CECILIA ST,2013-09-16,635.25,NA,NA
2523 ST CECILIA ST,2014-02-25,1277.5,NA,NA
2523 ST XAVIER ST,2014-11-24,2139.12,NA,NA
2525 ST CECILIA ST,2014-02-25,892,NA,NA
2526 GILLIGAN ST,2015-10-26,433,NA,NA
2532 W MUHAMMAD ALI BLVD,2014-08-05,387.38,NA,NA
2533 ST XAVIER ST,2014-10-28,0,NA,NA
2534 ST CECILIA ST,2015-07-16,0,NA,NA
2538 ST CECILIA ST,2013-09-05,923,NA,NA
2539 ROWAN ST,2013-09-19,3914.3,NA,NA
2541 OWEN ST,2017-01-10,101.32,NA,NA
2542 ST CECILIA ST,2017-08-17,108.25,NA,NA
2544 ST CECILIA ST,2014-10-28,1395,NA,NA
2546 ST CECILIA ST,2014-05-19,340.75,NA,NA
2601 NORTHWESTERN PKY,2015-10-01,5995.96,NA,NA
2602 LE BLANC CT 1,NA,0,NA,NA
2603 ALGONQUIN PKY,NA,0,NA,NA
2608 PLYMOUTH CT,2013-08-29,338.5,NA,NA
2613 NORTHWESTERN PKY,2013-06-21,3446.4700000000003,NA,NA
2614 GARLAND AVE 1,2014-06-27,389.75,NA,NA
2614 ST XAVIER ST,2015-08-04,1849,NA,NA
2619 ST XAVIER ST,2014-09-09,406,NA,NA
2623 ST XAVIER ST,2013-10-23,354.25,NA,NA
2625 PORTLAND AVE 1,2013-06-17,6662.28,NA,NA
2625 ST XAVIER ST,2013-07-22,1304.19,NA,NA
2631 NORTHWESTERN PKY,2016-04-25,446,NA,NA
2633 ST XAVIER ST,2014-02-25,3000.3,NA,NA
2639 BANK ST,2017-03-20,465.52,NA,NA
2645 ALGONQUIN PKY,2016-09-14,268.5,NA,NA
2705 W JEFFERSON ST 1,2013-11-13,2497.83,NA,NA
2706 ALGONQUIN PKY,2014-09-23,93.75,NA,NA
2711 CEDAR ST 1,2015-11-17,0,NA,NA
2711 NORTHWESTERN PKY,2014-06-25,3547.11,NA,NA
2711 ST XAVIER ST,2013-11-20,4919.2,NA,NA
2713 ST XAVIER ST,2014-08-05,1134.82,NA,NA
2714 W MADISON ST,2014-08-05,1602.75,NA,NA
2732 CONGRESS ST,2013-09-03,736,NA,NA
2803 NORTHWESTERN PKY,2016-08-18,701.5,NA,NA
2803 NORTHWESTERN PKY 1,2014-03-27,972.25,NA,NA
2810 ST XAVIER ST,2013-10-02,349.5,NA,NA
2819 NORTHWESTERN PKY,2014-07-30,1931,NA,NA
2820 ST XAVIER ST,2013-06-13,3657.19,NA,NA
2823 NORTHWESTERN PKY,2013-06-26,3585.38,NA,NA
2825 NORTHWESTERN PKY,2014-05-22,1796,NA,NA
2827 NORTHWESTERN PKY,2013-07-30,3655.74,NA,NA
2827 ST XAVIER ST,2014-01-08,3229.65,NA,NA
2833 NORTHWESTERN PKY,2013-12-24,4217.67,NA,NA
2833 PORTLAND AVE,2013-11-04,775.25,NA,NA
2836 ST XAVIER ST,2013-11-11,0,NA,NA
2916 ST XAVIER ST,2014-09-08,1168.19,NA,NA
2924 BRINKEY WAY 1,2013-06-25,64.5,NA,NA
2926 ST XAVIER ST,2017-02-06,615.3199999999999,NA,NA
2927 W MAIN ST,2015-12-21,2593.71,NA,NA
2931 GRIFFITHS AVE,2015-09-14,2239.75,NA,NA
2933 GRIFFITHS AVE,2015-09-14,412.75,NA,NA
2935 GRIFFITHS AVE,2015-03-02,1512.49,NA,NA
3003 7TH STREET RD,2016-07-19,357.82,NA,NA
3003 GREENWOOD AVE 1,2014-10-02,1684.5,NA,NA
3005 GREENWOOD AVE,2013-10-07,1303.79,NA,NA
3007 7TH STREET RD,2016-06-16,0,NA,NA
3007 RIVER PARK DR 101,2013-09-30,1805.58,NA,NA
302 NORTHWESTERN PKY,2017-06-26,259.47,NA,NA
310 WILLOW BROOK RD,2014-06-09,324.5,NA,NA
3101 DR WILLIAM G WEATHERS DR,2013-10-08,64.5,NA,NA
3106 NORTHWESTERN PKY,2016-07-07,0,NA,NA
3108 W BROADWAY 2,2015-07-24,334.5,NA,NA
3109 WOODLAND AVE,2015-06-22,750.51,NA,NA
311 S 32ND ST,2015-09-12,701,NA,NA
3112 NORTHWESTERN PKY,2014-10-07,694,NA,NA
3114 NORTHWESTERN PKY,2013-06-06,1596,NA,NA
3115 WOODLAND AVE,NA,0,NA,NA
3119 PORTLAND AVE 1,2014-01-02,216.5,NA,NA
3122 VERMONT AVE,2016-02-10,2016.5,NA,NA
3123 VIRGINIA AVE,2016-08-22,62.5,NA,NA
3125 RIVER RD 18,2013-10-31,0,NA,NA
3125 RIVER RD 19,2013-10-24,66.5,NA,NA
3127 W KENTUCKY ST 4,2014-11-13,1841.63,NA,NA
3129 LAKEHEATH DR,2015-03-16,125,NA,NA
313 SOUTHWESTERN PKY,2016-11-28,93.75,NA,NA
3137 W KENTUCKY ST,2013-08-15,2845,NA,NA
315 W OAK ST,2017-01-24,930.75,NA,NA
3200 W KENTUCKY ST,2013-07-23,2416.45,NA,NA
3206 W MARKET ST,2015-08-10,0,NA,NA
3209 TAYLOR BLVD 1,2013-08-26,0,NA,NA
3227 RIVER PARK DR 1,2013-08-19,2675.29,NA,NA
3229 LARKWOOD AVE 1,2013-08-22,1340.44,NA,NA
3235 NORTHWESTERN PKY,2013-06-19,474.25,NA,NA
3235 RIVER PARK DR 1,2013-08-29,1533.25,NA,NA
328 N 18TH ST,2016-08-05,0,NA,NA
328 N 24TH ST,2013-09-11,2806.75,NA,NA
331 E ST CATHERINE ST,2013-12-30,5772.45,NA,NA
3315 NORTHWESTERN PKY,2013-08-28,4865.53,NA,NA
3319 GREENWOOD AVE,2017-04-10,590,NA,NA
3327 ALGONQUIN PKY,2015-09-17,757.75,NA,NA
336 N 24TH ST,2014-07-07,799.97,NA,NA
338 N 24TH ST,2014-07-07,674.97,NA,NA
340 N 24TH ST,2014-06-11,770.72,NA,NA
3403 BOXELDER RD 1,2015-08-19,6322.19,NA,NA
3403 BOXELDER RD 4,2014-03-18,477,NA,NA
3403 SHANKS LN 1,2013-06-25,4950.36,NA,NA
3405 BOXELDER RD 1,2015-07-27,3709,NA,NA
3405 SHAGBARK RD 1,2017-03-15,222,NA,NA
3407 ROWENA RD 1,NA,0,NA,NA
3408 BRECKENRIDGE LN 4,NA,0,NA,NA
3411 SHAGBARK RD 1,2013-07-09,684.95,NA,NA
3411 SHANKS LN 4,2014-11-17,0,NA,NA
3413 SHAGBARK RD 1,2013-07-09,608.76,NA,NA
